"DeviceClean","DeviceNorm"
"Qanba Obsidian [Wired USB PS3]","qanba obsidian wired usb ps3"
"Qanba Obsidian [Wired USB PS4]","qanba obsidian wired usb ps4"
"Raphnet Classic Controller to USB adapter - V3 [SNES Classic Controller]","raphnet classic controller to usb adapter v3 snes classic controller"
"Raphnet PCEngine Controller to USB Adapter [PC Engine NEC PI-PD6]","raphnet pcengine controller to usb adapter pc engine nec pi pd6"
"Raphnet SNES Controller to USB Adapter [Wired USB]","raphnet snes controller to usb adapter wired usb"
"Razer Panthera Evo [Wired USB]","razer panthera evo wired usb"
"Reflex - Reflex [3DO 1P]","reflex reflex 3do 1p"
"Reflex - Reflex [3DO 2P]","reflex reflex 3do 2p"
"Reflex - Reflex [3DO 3P]","reflex reflex 3do 3p"
"Reflex Adapt 3DO [Wired USB Dinput]","reflex adapt 3do wired usb dinput"
"Reflex Adapt GameCube [Wired USB Dinput]","reflex adapt gamecube wired usb dinput"
"Reflex Adapt Genesis [Wired USB Dinput]","reflex adapt genesis wired usb dinput"
"Reflex Adapt Jaguar [Wired USB Dinput]","reflex adapt jaguar wired usb dinput"
"Reflex Adapt N64 [Wired USB Dinput]","reflex adapt n64 wired usb dinput"
"Reflex Adapt NES [Wired USB Dinput]","reflex adapt nes wired usb dinput"
"Reflex Adapt Neo Geo [Wired USB Dinput]","reflex adapt neo geo wired usb dinput"
"Reflex Adapt PC Engine [Wired USB Dinput]","reflex adapt pc engine wired usb dinput"
"Reflex Adapt PSX [Wired USB Dinput]","reflex adapt psx wired usb dinput"
"Reflex Adapt SMS [Wired USB Dinput]","reflex adapt sms wired usb dinput"
"Reflex Adapt SNES [Wired USB Dinput]","reflex adapt snes wired usb dinput"
"Reflex Adapt Saturn [Wired USB Dinput]","reflex adapt saturn wired usb dinput"
"Reflex Adapt Virtual Boy [Wired USB Dinput]","reflex adapt virtual boy wired usb dinput"
"Reflex Adapt Wii Classic [Wired USB Dinput]","reflex adapt wii classic wired usb dinput"
"Reflex CTRL [Dinput]","reflex ctrl dinput"
"Reflex CTRL [Switch]","reflex ctrl switch"
"Reflex CTRL [Xinput]","reflex ctrl xinput"
"Reflex Encode Fightboard [Wired USB Xinput]","reflex encode fightboard wired usb xinput"
"Retro Fighters Brawler 64 NSO Edition [Wired USB Dinput]","retro fighters brawler 64 nso edition wired usb dinput"
"Retro Fighters Brawler 64 NSO Edition [Wired USBXinput]","retro fighters brawler 64 nso edition wired usbxinput"
"Retro Fighters brawlerGEN USB [Wired USB]","retro fighters brawlergen usb wired usb"
"Retro-Bit - Sega Saturn 2.4GHz Wireless Pro Controller [Dinput]","retro bit sega saturn 2 4ghz wireless pro controller dinput"
"Retro-Bit - Sega Saturn 2.4GHz Wireless Pro Controller [Xinput]","retro bit sega saturn 2 4ghz wireless pro controller xinput"
"Retro-Bit - Tribute64 Wireless [Wireless N64]","retro bit tribute64 wireless wireless n64"
"Retro-Bit 6 Button USB [Wired USB]","retro bit 6 button usb wired usb"
"Retro-Bit Big 6 [Wired USB]","retro bit big 6 wired usb"
"Retro-Bit Genesis 2.4 GHz [Wired USB Dinput]","retro bit genesis 2 4 ghz wired usb dinput"
"Retro-Bit Genesis 2.4 GHz [Wired USB Xinput]","retro bit genesis 2 4 ghz wired usb xinput"
"Retro-Bit Genesis 8 Button USB [Wired USB]","retro bit genesis 8 button usb wired usb"
"Retro-Bit Legacy 16 Wired USB Controller [Wired USB Dinput]","retro bit legacy 16 wired usb controller wired usb dinput"
"Retro-Bit Legacy 16 Wired USB Controller [Wired USB Xinput]","retro bit legacy 16 wired usb controller wired usb xinput"
"Retro-Bit NES to USB [Wired USB]","retro bit nes to usb wired usb"
"Retro-Bit Retro-Link NES Dogbone [Wired USB]","retro bit retro link nes dogbone wired usb"
"Retro-Bit Retro-Link Saturn Classic [Wired USB]","retro bit retro link saturn classic wired usb"
"Retro-Bit Saturn 2.4 GHz [2.4GHz Saturn]","retro bit saturn 2 4 ghz 2 4ghz saturn"
"Retro-Bit Saturn 2.4 GHz [Wired USB Dinput]","retro bit saturn 2 4 ghz wired usb dinput"
"Retro-Bit Saturn 2.4 GHz [Wired USB Xinput]","retro bit saturn 2 4 ghz wired usb xinput"
"Retro-Bit Saturn Bluetooth [BT (BCM20702A0) Android] FW v1.02","retro bit saturn bluetooth bt bcm20702a0 android fw v1 02"
"Retro-Bit Saturn Bluetooth [BT (BCM20702A0) MacOS] FW v1.02","retro bit saturn bluetooth bt bcm20702a0 macos fw v1 02"
"Retro-Bit Saturn Bluetooth [BT (BCM20702A0) Switch] FW v1.02","retro bit saturn bluetooth bt bcm20702a0 switch fw v1 02"
"Retro-Bit Saturn Bluetooth [Wired USB Amazon] FW v1.02","retro bit saturn bluetooth wired usb amazon fw v1 02"
"Retro-Bit Saturn Bluetooth [Wired USB Dinput] FW v1.02","retro bit saturn bluetooth wired usb dinput fw v1 02"
"Retro-Bit Saturn Wired [Wired USB Dinput]","retro bit saturn wired wired usb dinput"
"Retro-Bit Saturn Wired [Wired USB Xinput]","retro bit saturn wired wired usb xinput"
"Retro-Bit Tribute 64 Wired USB Controller [Wired USB]","retro bit tribute 64 wired usb controller wired usb"
"Retro-Bit Tribute64 Wireless [2.4GHz USB Dinput]","retro bit tribute64 wireless 2 4ghz usb dinput"
"Retro-Bit Tribute64 Wireless [2.4GHz USB Xinput]","retro bit tribute64 wireless 2 4ghz usb xinput"
"Retro-Bit Tribute64 Wireless [Wireless N64 Reflex Adapt]","retro bit tribute64 wireless wireless n64 reflex adapt"
